,dekois2_ligand_1_dock_1fin_1
complex_1,-8.54862
step1_200.xyz_1,-8.22095
step2_200_2000_5.0_13001.xyz_1,122.04005
step2_200_2000_5.0_15568.xyz_1,-8.37118
step2_200_2000_5.0_16930.xyz_1,-8.09119
step2_200_2000_5.0_2177.xyz_1,-5.75301
step2_200_2000_5.0_21878.xyz_1,-3.78045
step2_200_2000_5.0_22633.xyz_1,14.36275
step2_200_2000_5.0_23287.xyz_1,-5.56354
step2_200_2000_5.0_27766.xyz_1,-6.11608
step2_200_2000_5.0_28005.xyz_1,-5.22633
step2_200_2000_5.0_40251.xyz_1,-1.94112
step2_200_2000_5.0_4094.xyz_1,-4.75941
step2_200_2000_5.0_41842.xyz_1,-4.57871
step2_200_2000_5.0_47873.xyz_1,117.89424
step2_200_2000_5.0_52593.xyz_1,-5.44836
step2_200_2000_5.0_6798.xyz_1,-7.64477
step2_200_2000_5.0_77285.xyz_1,-6.9651
step2_200_2000_5.0_85083.xyz_1,6.43346
step2_200_2000_5.0_85412.xyz_1,-6.97057
step2_200_2000_5.0_86398.xyz_1,-2.18189
step2_200_2000_5.0_86498.xyz_1,-0.86014
