	cocry_1jsv_U55_LIG	cocry_2iw8_4SP_LIG	dekois2_decoy_1	dekois2_ligand_1	dude_decoy_1	dude_ligand_1
complex_1	-7.56933	-8.70556	-9.02845	-8.54862	-8.03162	-8.25255
step1_200.xyz_1	-7.66926	-8.32116	-9.5815	-8.22095	-7.42586	-8.15469
step2_200_2000_5.0_16930.xyz_1	-7.60302	-8.66841	-4.57989	-8.09119	-6.38431	-5.98502
step2_200_2000_5.0_2177.xyz_1	-6.2925	-8.62264	-3.00444	-5.75301	-4.80089	-6.52703
step2_200_2000_5.0_27766.xyz_1	-6.7486	-7.90111	-6.7127	-6.11608	-1.31903	-8.76226
step2_200_2000_5.0_28005.xyz_1	-6.03401	-6.50808	-9.13449	-5.22633	-3.54641	-7.8073
step2_200_2000_5.0_4094.xyz_1	-6.74858	-7.83138	-8.29213	-4.75941	-3.36133	-6.97949
step2_200_2000_5.0_47873.xyz_1	-7.18399	-7.79508	-3.30777	117.89424	0.85757	-4.71132
step2_200_2000_5.0_77285.xyz_1	-6.44056	-7.31061	1.01806	-6.9651	-3.58711	-7.05253
step2_200_2000_5.0_85412.xyz_1	51.90294	-8.70085	-6.14342	-6.97057	-5.66834	-6.24193
step2_200_2000_5.0_86398.xyz_1	-0.25146	-6.55635	3.73431	-2.18189	-2.08136	-6.59489
step2_200_2000_5.0_86498.xyz_1	-5.68319	-8.09594	-1.67301	-0.86014	-3.26181	-7.67854
