,cocry_1jsv_U55_LIG
complex_1,-7.56933
step1_200.xyz_1,-7.66926
step2_200_2000_5.0_13001.xyz_1,-7.34066
step2_200_2000_5.0_15568.xyz_1,-6.45762
step2_200_2000_5.0_16930.xyz_1,-7.60302
step2_200_2000_5.0_2177.xyz_1,-6.2925
step2_200_2000_5.0_21878.xyz_1,-7.06447
step2_200_2000_5.0_22633.xyz_1,-5.64635
step2_200_2000_5.0_23287.xyz_1,-6.5834
step2_200_2000_5.0_27766.xyz_1,-6.7486
step2_200_2000_5.0_28005.xyz_1,-6.03401
step2_200_2000_5.0_40251.xyz_1,-4.78817
step2_200_2000_5.0_4094.xyz_1,-6.74858
step2_200_2000_5.0_41842.xyz_1,-8.75371
step2_200_2000_5.0_47873.xyz_1,-7.18399
step2_200_2000_5.0_52593.xyz_1,73.02404
step2_200_2000_5.0_6798.xyz_1,-7.78436
step2_200_2000_5.0_77285.xyz_1,-6.44056
step2_200_2000_5.0_85083.xyz_1,-4.87561
step2_200_2000_5.0_85412.xyz_1,51.90294
step2_200_2000_5.0_86398.xyz_1,-0.25146
step2_200_2000_5.0_86498.xyz_1,-5.68319
