,dekois2_decoy_1
complex_1,-9.02845
step1_200.xyz_1,-9.5815
step2_200_2000_5.0_13001.xyz_1,-8.07398
step2_200_2000_5.0_15568.xyz_1,0.51547
step2_200_2000_5.0_16930.xyz_1,-4.57989
step2_200_2000_5.0_2177.xyz_1,-3.00444
step2_200_2000_5.0_21878.xyz_1,100.85726
step2_200_2000_5.0_22633.xyz_1,-0.78409
step2_200_2000_5.0_23287.xyz_1,-7.61892
step2_200_2000_5.0_27766.xyz_1,-6.7127
step2_200_2000_5.0_28005.xyz_1,-9.13449
step2_200_2000_5.0_40251.xyz_1,-6.0465
step2_200_2000_5.0_4094.xyz_1,-8.29213
step2_200_2000_5.0_41842.xyz_1,-7.69755
step2_200_2000_5.0_47873.xyz_1,-3.30777
step2_200_2000_5.0_52593.xyz_1,-5.53983
step2_200_2000_5.0_6798.xyz_1,-7.14206
step2_200_2000_5.0_77285.xyz_1,1.01806
step2_200_2000_5.0_85083.xyz_1,-6.11567
step2_200_2000_5.0_85412.xyz_1,-6.14342
step2_200_2000_5.0_86398.xyz_1,3.73431
step2_200_2000_5.0_86498.xyz_1,-1.67301
