,dude_decoy_1
complex_1,-8.03162
step1_200.xyz_1,-7.42586
step2_200_2000_5.0_13001.xyz_1,-4.70198
step2_200_2000_5.0_15568.xyz_1,-4.51598
step2_200_2000_5.0_16930.xyz_1,-6.38431
step2_200_2000_5.0_2177.xyz_1,-4.80089
step2_200_2000_5.0_21878.xyz_1,-6.85522
step2_200_2000_5.0_22633.xyz_1,-3.88716
step2_200_2000_5.0_23287.xyz_1,-4.60346
step2_200_2000_5.0_27766.xyz_1,-1.31903
step2_200_2000_5.0_28005.xyz_1,-3.54641
step2_200_2000_5.0_40251.xyz_1,-2.56562
step2_200_2000_5.0_4094.xyz_1,-3.36133
step2_200_2000_5.0_41842.xyz_1,-5.1303
step2_200_2000_5.0_47873.xyz_1,0.85757
step2_200_2000_5.0_52593.xyz_1,-6.19524
step2_200_2000_5.0_6798.xyz_1,-4.93988
step2_200_2000_5.0_77285.xyz_1,-3.58711
step2_200_2000_5.0_85083.xyz_1,-4.41641
step2_200_2000_5.0_85412.xyz_1,-5.66834
step2_200_2000_5.0_86398.xyz_1,-2.08136
step2_200_2000_5.0_86498.xyz_1,-3.26181
