,dude_ligand_1
complex_1,-8.25255
step1_200.xyz_1,-8.15469
step2_200_2000_5.0_13001.xyz_1,-7.66827
step2_200_2000_5.0_15568.xyz_1,-2.58921
step2_200_2000_5.0_16930.xyz_1,-5.98502
step2_200_2000_5.0_2177.xyz_1,-6.52703
step2_200_2000_5.0_21878.xyz_1,-7.03184
step2_200_2000_5.0_22633.xyz_1,-7.66365
step2_200_2000_5.0_23287.xyz_1,-6.49961
step2_200_2000_5.0_27766.xyz_1,-8.76226
step2_200_2000_5.0_28005.xyz_1,-7.8073
step2_200_2000_5.0_40251.xyz_1,-6.31694
step2_200_2000_5.0_4094.xyz_1,-6.97949
step2_200_2000_5.0_41842.xyz_1,-0.37818
step2_200_2000_5.0_47873.xyz_1,-4.71132
step2_200_2000_5.0_52593.xyz_1,0.74099
step2_200_2000_5.0_6798.xyz_1,-7.12377
step2_200_2000_5.0_77285.xyz_1,-7.05253
step2_200_2000_5.0_85083.xyz_1,-5.84705
step2_200_2000_5.0_85412.xyz_1,-6.24193
step2_200_2000_5.0_86398.xyz_1,-6.59489
step2_200_2000_5.0_86498.xyz_1,-7.67854
