,0,ENERGY
step2_200_2000_5.0_16930.xyz_0,,114948.6875
step2_200_2000_5.0_2177.xyz_0,,13236.310546875
step2_200_2000_5.0_27766.xyz_0,,7536.65234375
step2_200_2000_5.0_28005.xyz_0,,3549.12841796875
step2_200_2000_5.0_4094.xyz_0,,7318.2919921875
step2_200_2000_5.0_47873.xyz_0,,3983.888671875
step2_200_2000_5.0_77285.xyz_0,,11400.765625
step2_200_2000_5.0_85412.xyz_0,,20538.9921875
step2_200_2000_5.0_86398.xyz_0,,8358.162109375
step2_200_2000_5.0_86498.xyz_0,,35034.23828125
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
0,114948.6875,
1,13236.310546875,
2,7536.65234375,
3,3549.12841796875,
4,7318.2919921875,
5,3983.888671875,
6,11400.765625,
7,20538.9921875,
8,8358.162109375,
9,35034.23828125,
