,cocry_2fwy_H64_LIG
complex_0,-7.78472
step1_200.xyz_0,-7.35504
step2_200_2000_5.0_16930.xyz_0,-7.83408
step2_200_2000_5.0_2177.xyz_0,-7.04022
step2_200_2000_5.0_27766.xyz_0,-5.98602
step2_200_2000_5.0_28005.xyz_0,-7.20373
step2_200_2000_5.0_4094.xyz_0,-6.80172
step2_200_2000_5.0_47873.xyz_0,-7.361
step2_200_2000_5.0_77285.xyz_0,-7.88548
step2_200_2000_5.0_85412.xyz_0,-7.57049
step2_200_2000_5.0_86398.xyz_0,-7.41786
step2_200_2000_5.0_86498.xyz_0,-5.948
complex_2,-8.04278
step1_200.xyz_2,-7.73691
step2_200_2000_5.0_16930.xyz_2,-8.38532
step2_200_2000_5.0_2177.xyz_2,-7.85507
step2_200_2000_5.0_27766.xyz_2,-6.58805
step2_200_2000_5.0_28005.xyz_2,-7.16672
step2_200_2000_5.0_4094.xyz_2,-7.1895
step2_200_2000_5.0_47873.xyz_2,-6.25503
step2_200_2000_5.0_77285.xyz_2,-8.14386
step2_200_2000_5.0_85412.xyz_2,-6.923
step2_200_2000_5.0_86398.xyz_2,-8.75264
step2_200_2000_5.0_86498.xyz_2,-8.37941
complex_1,-7.69515
step1_200.xyz_1,-7.50061
step2_200_2000_5.0_16930.xyz_1,-8.02969
step2_200_2000_5.0_2177.xyz_1,-6.27148
step2_200_2000_5.0_27766.xyz_1,-5.59981
step2_200_2000_5.0_28005.xyz_1,-4.83045
step2_200_2000_5.0_4094.xyz_1,-6.19843
step2_200_2000_5.0_47873.xyz_1,7.72817
step2_200_2000_5.0_77285.xyz_1,-5.80692
step2_200_2000_5.0_85412.xyz_1,-4.79269
step2_200_2000_5.0_86398.xyz_1,-6.64468
step2_200_2000_5.0_86498.xyz_1,-7.18325
